"stop_name","stop_lat","stop_lon"
"Washington Street","42.344329","-71.142385"
"Riverway","42.331391","-71.111925"
"Savin Hill","42.31129","-71.053331"
"Quincy Center","42.251809","-71.005409"
"Chiswick Road","42.34054","-71.15114"
"Lechmere","42.370952","-71.077007"
"Kent Street","42.344117","-71.114097"
"Valley Road","42.268322","-71.081568"
"Braintree","42.208371","-71.001423"
"Englewood Avenue","42.337011","-71.145368"
"Tufts Medical Center","42.349662","-71.063917"
"Saint Marys Street","42.345884","-71.107697"
"Government Center","42.359705","-71.059215"
"Central Avenue","42.270027","-71.073337"
"Alewife","42.395428","-71.142483"
"Downtown Crossing","42.355518","-71.060225"
"Woodland","42.333372","-71.244303"
"Waban","42.325899","-71.230805"
"Sutherland Road","42.341577","-71.146607"
"Hawes Street","42.344758","-71.111761"
"Kendall/MIT","42.362434","-71.085591"
"Fairbanks Street","42.33969","-71.131228"
"Revere Beach","42.407843","-70.992533"
"Riverside","42.337283","-71.252385"
"South Street","42.339371","-71.157057"
"Brigham Circle","42.334846","-71.103017"
"Newton Centre","42.329338","-71.192388"
"Lechmere","42.370911","-71.077095"
"Washington Square","42.339519","-71.134587"
"Harvard Avenue","42.350263","-71.131298"
"Kenmore","42.348949","-71.095169"
"Wellington","42.40237","-71.077082"
"Brookline Hills","42.331238","-71.127012"
"Cleveland Circle","42.336216","-71.149201"
"Newton Highlands","42.321687","-71.206063"
"Boston College","42.340149","-71.167029"
"Boston University East","42.349811","-71.104657"
"North Quincy","42.275275","-71.029583"
"Wonderland","42.413513","-70.991737"
"Allston Street","42.348649","-71.137881"
"Dean Road","42.337628","-71.142309"
"Eliot","42.318957","-71.216776"
"Ruggles","42.336377","-71.088961"
"Beaconsfield","42.335848","-71.140826"
"Hawes Street","42.344867","-71.111157"
"Davis","42.39674","-71.121815"
"Brigham Circle","42.334331","-71.104487"
"Chestnut Hill","42.326654","-71.165316"
"Ashmont","42.284239","-71.063601"
"Tappan Street","42.338567","-71.13819"
"Coolidge Corner","42.342028","-71.121685"
"Boylston","42.353214","-71.064545"
"Capen Street","42.267712","-71.087751"
"Park Street","42.356395","-71.062424"
"Butler","42.272343","-71.062585"
"Haymarket","42.363021","-71.05829"
"Fields Corner","42.300093","-71.061667"
"Back Bay","42.34735","-71.075727"
"Malden Center","42.426632","-71.07411"
"Stony Brook","42.317062","-71.104248"
"Central","42.365379","-71.103554"
"Harvard","42.373362","-71.118956"
"Cleveland Circle","42.336252","-71.148774"
"Harvard Avenue","42.350602","-71.130727"
"Beaconsfield","42.335809","-71.140841"
"Chestnut Hill Avenue","42.33873","-71.152526"
"Chestnut Hill","42.326633","-71.165299"
"Washington Street","42.343974","-71.142731"
"Wood Island","42.37964","-71.022865"
"Museum of Fine Arts","42.337875","-71.09524"
"Boston University Central","42.350013","-71.106902"
"Quincy Adams","42.233391","-71.007153"
"Pleasant Street","42.351445","-71.118753"
